City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
423,Abu Dhabi,AE,86.11,clear sky,24.4667,54.3667,Beach Rotana
427,Hirara,JP,76.78,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
429,Monitos,CO,87.21,overcast clouds,8.25,-76.05,Finca Aleman Gonzalez
434,Kribi,CM,79.25,light rain,2.95,9.9167,La Grace Hôtel
442,Banjar,ID,77.92,overcast clouds,-8.19,114.9675,The Hamsa Resort
445,Vanimo,PG,78.49,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
451,Kanker,IN,81.3,few clouds,20.2719,81.4931,STARiHOTEL Kanker
455,Lorengau,PG,83.62,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
457,Banda Aceh,ID,80.02,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
459,Le Robert,MQ,86.05,broken clouds,14.6775,-60.9392,HARMONY HEBERGEMENT
460,Lamu,KE,79.02,light rain,-2.2717,40.902,Lamu House
465,Sao Felix Do Xingu,BR,84.67,broken clouds,-6.6447,-51.995,Rio Xingu Camping
469,Nanakuli,US,80.55,broken clouds,21.3906,-158.1547,Camp Pālehua
470,Oussouye,SN,89.78,clear sky,12.485,-16.5469,Auberge du Routard
475,Bandarbeyla,SO,82.87,clear sky,9.4942,50.8122,JABIR HOTEL
477,Cozumel,MX,89.94,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
478,Trinidad,BO,89.58,few clouds,-14.8333,-64.9,Hotel Piesta
483,Edd,ER,84.2,overcast clouds,13.9297,41.6925,
485,Manali,IN,86.09,overcast clouds,13.1667,80.2667,Sarathy Lodge
491,San Andres,CO,87.82,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
492,Tupsan,PH,79.97,overcast clouds,9.1992,124.7769,Algen's Dive Resort
494,Turbat,PK,86.25,clear sky,26.0023,63.044,Mubashar Quarters
501,Pagudpud,PH,80.76,scattered clouds,18.5616,120.7868,Saud Beach Resort and Hotel - 2
502,Ormara,PK,81.32,clear sky,25.2088,64.6357,Kenara Colony house for Rent
503,Simpang,ID,75.99,overcast clouds,-1.2667,104.0833,
505,Macarthur,PH,77.49,light rain,10.8347,124.9953,"Irenea ""Yeyeng"" Demaculangan Moreno"
507,Poum,NC,76.19,overcast clouds,-20.2333,164.0167,
513,Cockburn Town,TC,79.43,clear sky,21.4612,-71.1419,Osprey Beach Hotel
523,Nam Phong,TH,84.09,overcast clouds,16.7023,102.8557,Koon Garden Resort
525,Alofi,NU,78.69,overcast clouds,-19.0595,-169.9187,Taloa Heights
533,Meiktila,MM,75.18,light rain,20.8667,95.8667,The Floral Breeze Wunzin Hotel
534,Capanema,BR,75.54,heavy intensity rain,-1.1958,-47.1808,Hotel Legal
535,Touros,BR,79.68,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
536,Gazli,UZ,83.89,broken clouds,40.1333,63.45,
537,Abnub,EG,88.02,overcast clouds,27.2696,31.1511,مضيفت اولاد احمد ابو حسين
543,Marrakesh,MA,89.67,clear sky,31.6315,-8.0083,Les Jardins de La Koutoubia
549,Corrente,BR,78.35,overcast clouds,-3.7367,-43.3394,Chapadinhense Hotel
552,Qandala,SO,85.66,clear sky,11.472,49.8728,
559,Nishihara,JP,75.25,overcast clouds,26.1842,127.7558,Minshuku Agaihama
562,Kavaratti,IN,84.69,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
563,Sabang,ID,81.91,overcast clouds,5.8933,95.3214,Hotel Citra
564,Riyadh,SA,82.54,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
570,Boa Vista,BR,84.18,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
572,Kerouane,GN,77.65,broken clouds,9.2667,-9.0167,Hotel Seka Seka
576,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
579,Kupang,ID,79.47,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
581,Jati,PK,81.28,clear sky,24.3539,68.2671,Cafe Lala Rehan Restaurant
584,Anakapalle,IN,84.15,broken clouds,17.6833,83.0167,Satya Lodge
588,Soyo,AO,78.39,few clouds,-6.1349,12.3689,Hotel Mpampa
591,Bogo,PH,79.39,scattered clouds,11.0517,124.0055,Acrige Apartelle
593,Dingle,PH,78.15,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
594,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
595,Lake City,US,88.63,scattered clouds,30.1897,-82.6393,Ramada Limited Lake City
596,Makakilo City,US,79.12,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
598,Sawakin,SD,81.03,clear sky,19.1059,37.3321,فندق الدويم
602,Kerema,PG,78.89,overcast clouds,-7.9631,145.7785,Frena Lodge
605,Bajil,YE,87.15,broken clouds,15.0584,43.2851,فندق حضرموت
606,Aden,YE,84.88,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
610,Kingston,JM,86.23,few clouds,17.997,-76.7936,The Jamaica Pegasus Hotel
611,Santa Fe,AR,78.03,light rain,-31.6333,-60.7,Conquistador Hotel
