City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
226,Port-Gentil,GA,-0.7193,8.7815,82.36,83,40,9.22,scattered clouds
227,Tuktoyaktuk,CA,69.4541,-133.0374,37.4,75,75,14.97,broken clouds
228,Natchez,US,31.5604,-91.4032,89.04,54,0,9.22,clear sky
229,Verkhnevilyuysk,RU,63.4453,120.3167,31.17,90,97,9.06,overcast clouds
230,Portland,US,45.5234,-122.6762,48.61,84,100,5.75,light rain
231,Burnie,AU,-41.0667,145.9167,46.76,78,37,4.59,scattered clouds
232,Saldanha,ZA,-33.0117,17.9442,53.65,88,100,9.51,overcast clouds
233,Goderich,CA,43.7501,-81.7165,64.72,29,9,9.22,clear sky
234,Huarmey,PE,-10.0681,-78.1522,70.93,74,100,12.3,overcast clouds
235,Kudahuvadhoo,MV,2.6708,72.8944,84.33,78,100,19.01,moderate rain
236,Porto Novo,BJ,6.4965,2.6036,84.02,81,27,10.63,scattered clouds
237,Neyshabur,IR,36.2133,58.7958,67.26,47,78,7.29,light rain
238,San Cristobal,VE,7.7669,-72.225,82.58,59,87,5.82,overcast clouds
239,San Lawrenz,MT,36.0553,14.204,61.86,90,23,3.0,few clouds
240,Santa Isabel,BR,-23.3156,-46.2214,69.1,84,85,6.02,overcast clouds
241,Port Moresby,PG,-9.4431,147.1797,76.42,100,40,5.75,scattered clouds
242,Sao Filipe,CV,14.8961,-24.4956,73.78,73,1,13.27,clear sky
243,Sechura,PE,-5.5569,-80.8222,77.72,59,91,18.16,overcast clouds
244,Palaikastron,GR,35.2,26.25,61.65,83,100,6.8,overcast clouds
245,Abapo,BO,-18.8333,-63.4667,83.46,34,53,14.34,broken clouds
246,Champerico,GT,14.3,-91.9167,93.74,66,35,10.8,scattered clouds
247,Ayacucho,PE,-13.1583,-74.2239,73.26,23,40,4.61,scattered clouds
248,Mehamn,NO,71.0357,27.8492,31.95,80,75,17.27,broken clouds
249,Eydhafushi,MV,5.1033,73.0708,83.73,79,79,18.75,broken clouds
250,Mumbwa,ZM,-14.9783,27.0619,69.19,54,72,4.45,broken clouds
251,Sinnamary,GF,5.3833,-52.95,81.7,76,29,10.42,scattered clouds
252,Coos Bay,US,43.3665,-124.2179,48.15,89,100,17.27,overcast clouds
253,Kuito,AO,-12.3833,16.9333,61.97,71,58,2.33,broken clouds
